,toxic,not_toxic
2404,"if you continue to do this, you will end up like these evil grownups.","If you keep this up, you'll be like the bad grown-ups."
2405,Love is thicker than your behinds.,love is stronger than your background.
2406,what the hell is that?,What is it this time?
2407,"I swear to christ, morgan, After this case, I'm submitting your ass For psychiatric evaluation.","I swear to you, Morgan, I'm sending you to the psych ward after this case."
2408,"I remember thinking that if it was about that black hotel, I didn't want to understand.","I remember thinking, if it's about the hotel, I don't want to understand."
2409,You're just fucking dragging me down.,you're just dragging me down.
2410,"I remember watching MTV and see the fucking hair bands, as they put it, and I'm looking at a guitar magazine where there was a tableau of how to play a song from Warrant (a metal band), and I said, ""Well, I can't do that.""","Like, I remember, you know, watching MTV and, like, watching some fucking hair metal band just, like, ripping it up, and I'm looking at this guitar magazine with, like, the tablature of like how to play, you know, a Warrant song or something like that and being like, ""Well, I mean I can't do that."""
2411,"And not my dad, a big foreign uncle with big hands, which are bigger than your fffffface!","not your father, but my big uncle, with big hands that are bigger than your..."
2412,"bye, fool!","Goodbye, peanut!"
2413,I really have to try to burn.,I'm actually gonna have to try to lose.
2414,"Indeed, his reward for stabbing his own king in the heart.","indeed, as a reward for piercing the heart of his king."
2415,And every night since then he gave me a punch in the head and said:,"and after a night out in the pub, he beat me to my head and said:"
2416,I see hordes of Mongolian horsemen destroying your country and death.,"I see hordes of Mongol horsemen... ...ravaging your land, death..."
2417,I don't know what the fuck is going on here.,I have no idea what's going on.
2418,"We’re parked on goddamn Main Street, shut up in here without a single window to look out of, he could be anywhere-up front behind the fucking wheel, for all we know!","we're parked on the bloody Main Street, locked in a box that doesn't have windows, he could be anywhere - calmly right behind the wheel, what we know!"
2419,That's foolish. You pick the one right tool.,you choose only one right tool.
2420,go to your mother.,"Go with your mother, pal."
2421,"First, I raised my staff and bashed the minotaur over the head with it as hard as I could.",at first I raised my staff and slammed the minotaur over my head as much as I could.
2422,"By the way, his name is not Fat-shit Cat, it's Meatball... ...and he's eating your crab cakes right now.","by the way, his name's not Fat Cat, he's a Carnival, and she eats your crab cakes."
2423,being so strong is just... gross!,Being this strong is just distasteful!
2424,"""I can't let you kill him until he's comfortable with God.""",'I cannot permit you to kill him until he has made his peace with God.'
2425,someone would have killed him long ago if he could.,Somebody would've shanked him by now if they could've.
2426,Damn. The Republican Party sounds pretty attuned to my unique way of life.,support for Republicans could be useful for my unique lifestyle.
2427,"Doyle, I got two fuckers on me!","Doyle, two go after me."
2428,Do it in the back of the head!,in the back of your head!
2429,That's the death sentence for the German people.,"this is, however, a death sentence for the German people."
2430,"Open the damn door! -you can't change the past, james!","you can't change the past, James!"
2431,"Her skin was too white, her eyes red-rimmed.","her skin was very pale, her eyes red."
2432,what the hell is he doing?,What's he doing?
2433,"Clever, OK, but dumb.","clever, yes, but limited."
2434,American girls just don't seem to like that.,it doesn't seem to like the American girls.
2435,Get the fuck out of here!,we have to get out of here!
2436,he expected them to return the original form when they no longer live as they return to the werewolves when someone hits them with a silver bullet to the heart or stabs them with a silver-tipped spear.,"He had expected them to revert to normal appearance when they were dead, the way they were in the movies, upon taking a silver bullet in the heart or beaten with a silver-headed cane, always metamorphosed for the last time, becoming their tortured, too-human selves, finally released from the curse."
2437,I can't ensure a single damn thing if you scare the whole House silly with talk of land appropriations and revolutionary tribunals.,"I can't guarantee anything if you scare the entire Chamber of talking about land ownership, revolutionary tribunals, punishments..."
2438,That crap?,the nonsense?
2439,"he's got to do something drastic or he gets into some crap, like the clock tower, with a sniper rifle.","Now, something drastic must be done, or he's going to slip down through the cracks, right up into a clock tower with a sniper rifle."
2440,then I want him removed.,"And then I wanna put him away, for good."
2441,"You got Facebook, dude? - Fuck off.","you got Facebook, mate?"
2442,the Princess sat by the fire and was as crazy as ever.,"The princess sat by the fire, sewing away as madly as ever."
2443,Unless that job involves milking pig teats.,if the work does not involve the milking of pigs.
2444,it's his fucking problem.,Where is he? It is his problem.
2445,"Despite Susan, it was him she wanted to please, so he would give her the thing she craved and needed: the touch; the penetration.","apart from Susan, he was the one she wanted to please and convince him to give her the thing she wanted and needed; a touch; a simple one."
2446,people tend to be cruel to intellectually disabled people like you.,"People can be cruel... to people intellectually challenged, such as yourself."
2447,Not one damn of you has any answers do you?,"and no one has any answers, right?"
2448,"They edged forward, despite an increasingly insistent voice in Agnes's head that kept telling her she was being a stupid coward and of course she wouldn't be hurt.","they moved slowly forward, despite the voice rising in Agneta's head, trying to tell her that he was a coward and that nothing could ever happen to her."
2449,"bullshit, Willi!","Bollocks, Will!"
2450,"OK, well, then you bite the fuckin' bullet... and you take her to a hospital and call a lawyer.","okay, make your mistake, take her to the hospital and call a lawyer."
2451,"you want a blow job, senor?","Blow job, americano señor?"
2452,"You really piss me off, Jim. Human life is far too precious to risk on crazy stunts.",human life is too precious to risk on such punishments.
2453,did you watch the sex offenders?,You follow up on the sex offenders?
2454,at first she thought it was another group of urchins armed to war.,"At first she thought it was another party of urs, outfitted for war."
2455,so you've only spent time with me to fuck him up?,"So you were only spending time with me to screw with him? God, no."
2456,"Naomi, why are you such a pushover?","Naomi, why are you so soft?"
2457,I'll screw one of them next time.,Next time I'll trip one of them.
2458,"Shit, you're weird.","wow, you're weird."
2459,"it's one of those silly jokes ""hidden cameras.""",It's one of those Candid Camera jokes.
2460,vomit.,Barf.
2461,"""I don't need rest,"" I insisted, but my voice was ridiculous.","""I don't need to rest,"" I said, my voice sounding funny to my ears."
2462,then the whole thing fucked up.,That's how the whole thing got screwed up.
2463,Your loyalty could get you killed.,your loyalty could cost you your life.
2464,Seated before the damn mixer is our engineer.,the one who sits in front of that crazy mixer counter is our engineer.
2465,"you know, I was squatting in the pit of garbage with my pants running, and the worst case of diarrhea in my life when the bandits attacked.","You see, I was down in the gully with my britches around my ankles with the worst case of runs in my life when the bandits struck."
2466,"You expel the Asians now, this economy will be on its knees.","if you win an Asian, the economy will be on the knees."
2467,what would happen then I think how you die,"What would happen then, I mean, how do you die?"
2468,"RIGGS: Come on, don't be a killjoy!","oh, come on, don't be a drifter!"
2469,"No, you're the fake.",it's a fake.
2470,"And I figured, since I was acquainted with the Sherlock Holmes, I'd be a fool not to seek his advice, right?","and I thought if I knew Sherlock Holmes, I'd be crazy if I didn't... ask him for advice, right?"
2471,I don't give a good goddamn if you're the second coming.,I don't care if you're the second Christ.
2472,"Come, lady. Die to live.","you, miss, death will give you life."
2473,It was pretty weird shit.,it was really weird.
2474,You should have thought of that before you pumped me full of semen!,you should have thought of this before you pumped me up with your seed!
2475,"""doesn't the damn forest have an ending?"" Said Thorin.","""Is there no end to this accursed forest?"" said Thorin."
2476,that's what Clinton didn't understand when he started praying in schools and homosexuals in the military.,This is what Clinton didn't understand when he started in on school prayer and gays in the military.
2477,To the phone wank.,to make the phone call.
2478,I lost eight years of my hand for this bastard.,This guy's the reason I'm missing 8 years of my life and my arm!
2479,He just laid on the bed and started sucking his thumb.,he lay down on the bed and stuck his thumb in his mouth.
2480,Perhaps he was dictating. - Shut up.,maybe he was dictating.
2481,"you bring it with me when everything is fine, but when I'm on my knees, you're gonna kick me!","You along for the ride, long as everything is groovy, but then you're gonna kick me when I'm down."
2482,"cold and crazy, but not enough of a cruel rationality.",It was cold and it was insane but it had its own merciless rationality.
2483,"Jock, you're ablaze!",you're on fire!
2484,the only chance that can help me get to the bottom of the damn problem is to hope that different people will volunteer to work with me and answer my questions.,The only chance I have of getting to the bottom of this miserable mess is to hope that various people will voluntarily cooperate with me and answer my questions.
2485,"Oh, I know. I'm not afraid of sucking.","I know, I'm not afraid of standing for nothing."
2486,"""if you suggest that you have risked your people's lives for the sake of the pursuit of glory, I find it as ridiculous as offensive.""","""If you're suggesting she risked her people's lives to go glory-hunting, I find the idea as ridiculous as it is offensive."""
2487,"If it's a tumor, we start chemo, bombard his head with radiation.","if it's a tumor, we'll put it on chemo."
2488,why not just get rid of them and have a clean table?,Why not just dispose of them and be done with it?
2489,"he can't cut anything, he can't cut it, but he's still a katana, and he can kill someone with it.","Though it can't cut a thing, but is still a knife, can kill people."
2490,why do you want to kill us?,Why are you trying to kill us? - Step out!
2491,"Shit, Simon Cowell's ego isn't as big.",not even Simon Cowell's ego is so big.
2492,The motherfuckers hate each other.,they hate each other.
2493,seize her.,Get her.
2494,Scared Israeli son of bitch.,"scared, Israeli son of a..."
2495,are you fucking cool?,"Hard man, are you?"
2496,"you know, I have to admit, when he first bought this thing, I thought you were a little crazy.","You know, I gotta admit, when you first bought this thing, I thought you were goin' a little bit crazy."
2497,"and then I beat him up in ""donkey..."" and made him cry like a little girl.",Then I beat him in Horse and made him cry like a little girl.
2498,I'm not making shit up.,I'm really not making up.
2499,How did you idiots get captured?,how could you get caught?
2500,"yes, women, cowards... and eunuchs.","Yes, women, cravens... and eunuchs."
2501,"Worf on the bridge when you stopped defending yourself during the fight, how did you know I wouldn't kill you?","Worf on the Bridge, during the fight when you dropped your guard how did you know I would not kill you?"
2502,burned by fire and sent to heaven.,Consumed by fire and sent to the heavens.
2503,"""You're a drunkard's dream, Quinn.""","""you're like a drunk's dream, Quinn."""
2504,You're all dead... ...because you don't know how to fire weapons on semi-automatic.,"all of you, 'cause you don't know how to shoot semiautomatic weapons."
2505,she's used to the fact that every Wesen is trying to kill her.,"No, no, no. She's used to every wesen trying to kill her."
2506,And I thought of all the grief and sadness and fucked up suffering in the world and it made me want to escape.,I thought of all the grief and sadness and all the vain misery in the world when I wanted to escape.
2507,the loser is not in my vocabulary when he comes to fight.,Loser is not in my dictionary when it comes to fights.
2508,P.S. If there wasn't that stupid celibacy...... we could get married...... and have our own kids.,"P.S. if we didn't end up taking our vows of celibacy, we could maybe get married and have a family with some niños."
2509,Blow it. It's like a soufflé.,it's like decorating a cake.
2510,"Thanks to you, I've got one day to pull this dance-off outta my ass.","thanks to you, now I have to take a leak in one day."
2511,"it's a lamp too, you fool.","It is a lamp, you nincompoop."
2512,"because they're hot, smart, non-Jewish, and they can't dance.","They're hot, they're smart, they're not Jewish and they can't dance."
2513,they'll just come into town and fire the car right away.,"They'll come into a town like Somerset, and they'll blow up a car."
2514,"if you were in my position, would you kill Zen?","If you were in my place, would you murder Zeno?"
2515,"We can't let you all go, but this shit'il get worked out in court.","we can't let you all go, but we'll figure it out."
2516,'i'm sick of you! 'He bellowed meaninglessly.,“You’ve upset me!” he shouted irrationally.
2517,"come on, open the trunk. We'll load it up so I can cut you off.",Go ahead and pop open your trunk. We'll get these cases in there so I can cross you off my list.
2518,and you're disgusting practically all the time.,"Well, you nasty just about all the time."
2519,"I want to cut off heads, too.",I want to keep my heads down too.
2520,even in the most ridiculous neighbourhoods there are echoes of the scandal.,"Even in the most respectable of neighbourhoods, you can hear the sound of scandal."
2521,"Oh, Meg, all your suicide threats over the years, and you're just as chicken shit as the rest of us.","Meg, you're still threatening your suicide, and yet you're as scared as we are."
2522,"like a cute, but inept little boy, with little biceps... someone who doesn't take you for granted, and who would give up everything to be with you.",like a cute but somewhat awkward shorter guy... with small biceps -- someone who doesn't take you for granted... and who would give up everything just to be with you.
2523,We gonna end up killing 5000 people.,five thousand people will be killed.
2524,I want to sleep with you.,I want to go to bed with you.
2525,we have to hope that some other crap I'm going to have to cram into my own 22 minutes of my short concentration.,We just need to hope there's no new piece of nonsense I have to jam into my 22 minutes of Short Attention Span Theater.
2526,"Terrorists, criminal gangs.","terrorists, criminal gangs?"
2527,I don't have to pay for sex.,"I mean, I don't have to pay for sex."
2528,"When you decide receiving oral doesn't really count as gay, you're on your way to an adventure.","when you decide that adopting an eagle doesn't mean being gay, you're on your way on an adventure."
2529,They cursed us. Murderer.,they cursed us.
2530,I'm a republi-cunt.,I'm a Republican.
2531,"this guy was hitting on me like an animal, three hours.",This guy rode melike an animal for three hours.
2532,you're all crazy.,This is insane.
2533,It was Cambodian weasel vomit coffee.,"it was ""Cambodian chickpeas whooping coffee."""
2534,Bobby thought he looked like an idiot.,Bobby thought he looked like a dope.
2535,"I got you in my sights, you little dick!","I've got you in my sights, you wee bird!"
2536,Don't move and show me your fucking hands right now.,don't move and show me your hands now!
2537,shut up and give me the book.,Give me the book.
2538,And I couldn't see the point of spitting and all that crap.,I didn't understand the meaning of the spitting and all the nonsense.
2539,"Shit, that's him.",that's him!
2540,"you're out of your mind, Pilgrim!","You're way out of it, Pilgrim!"
2541,"Get back here! Come on, I'll fight you with one wing behind my back.","come here, tweaks, I can handle you with one wing behind my back."
2542,"""you bitch, nobody's ever gonna see you again.""","He goes, ""You file, you'll never be seen again."""
2543,Captain shit-nuts!,captain Preacher!
2544,get in there and we'll handcuff you.,You get in and we'll fasten you in.
2545,I'll wake all of them dead!,I wake up all the dead!
2546,Give me a gun.,give me your gun.
2547,"this is a great party, Dick.","It's really a nice party ,Dick ,congratulations"
2548,these puppies teach a whole generation of horny teenagers.,You are going to enchant an entire generation of teenage boys with those pound puppies.
2549,"""I'm not such an idiot to know.","""I'm not stupid, you know."
2550,"Jill, I do not have time for this. - shit!","Jill, I don't have time to..."
2551,there's been enough of your crazy stuff.,Enough of this crazy game. - Not!
2552,"who the hell am I, your mother?","What am I, your mother?"
2553,We were so freakin close and We let some idiot who wasn't Even smart enough to put on,"we were so close, but we left a cow who isn't even smart enough to wear pants to blow it up for us."
2554,Do you know what that darn dog of yours did?,do you know what your dog did?
2555,Goddamn!,"oh, my God."
2556,"Dennis, if you want to be a real one, and you think you can do it today, but you're in the way of a gay guy from City Council, great.","Dennis, if you want to be classy and you're g-good with city councilmen and you think you can get him, great. Be classy and bang the guy."
2557,my beautiful red hair and huge breasts... appear to bring all life forms to madness.,My beautiful red hair and giant jugs... seem to... drive all life-forms wild.
2558,That joke sucked.,the joke was terrible.
2559,"Uh, ""no cash for ass.""","""never for money."""
2560,"Poor devil, he was at death's door for three months.",the poor man lay three months on his deathbed.
2561,Where the fuck is my cake fork?,where the hell's a dessert fork?
2562,I suggest we take it to a punchline.,I say we take it punk.
2563,"Well, we need him because maybe that neurotic little elf nipping at your heels will make you understand that we are in a major crisis situation here.","we need him, because the little neurotic elf might explain to you that this is a critical situation."
2564,What the hell do they keep in these?,what do they store in this?
2565,"shut up, shave, get dressed, and I'll go down with you!","Cool down, go on with your shaving, finish dressing, and I'll go downstairs with you!"
2566,"you ain't got no fucking problem, man.",You ain't got no problem.
2567,These things should knock those doomsday cultists on their asses Long enough for us to get irisa clear.,"this should knock out the cult, long enough for the Irishmen to be taken away."
2568,"we vuole's gettin 'stronger, ah, to hell with my gumba","# My vuole's gettin' stronger, ah, to hell with my gumba"
2569,You know there's a new police unit to clear out gay cruising areas?,"you know there's a new police department that's supposed to ""clean"" holands?"
2570,you think I'm one of those cops you can fuck with?,You think I'm one of those square cops you can with?
2571,you won't cut your head.,There is no head to cut off.
2572,"well, it was a bit ridiculous, but it wasn't very elegant.","Or whatever. And it was a little comical, but it wasrt very elegant."
2573,"""Who the hell's that?"" Rader asked.","and who the hell is he supposed to be? ""Said Rader."
2574,Why would Gonzalo kill my sister like a beast?,why would Gonzalo want to kill my sister?
2575,You and your boyfriend have sex all the time!,you and your guy do it all the time!
2576,hit him!,Go get him.
2577,"I'd like to bury her head at home, and he left it, but Renee really matters, and it's important.","I would just sprinkle water on her head at home and call it a day, but it's, you know, really important to Renee, and it's a big deal."
2578,My report is on the vile and despicable trash That our parents are watching on cable television.,my report relates to a nasty little thing that's our parents watching on TV.
2579,"I lay there with a funnel on my ears like an alien, astonished by human sexual practices.","I lay there, a cone over each ear like an alien, wondering at the peculiarities of human sex practices."
2580,why isn't it in bloody England?,What was it doing in bloody England?
2581,"""Is this the only way you get any sex, forcing yourself on someone?","""is this the only way for you to sleep with someone?"
2582,I said I know and I said I fucked up.,"I said I did, and I screwed up."
2583,"they didn't know religious allegiance, while I knew nothing else, but with a pathetic lack of detail.","They knew no religious allegiance, which was all I knew, pitifully devoid of detail."
2584,to hell with the restored world!,"To hell with the ""world renewal!"""
2585,"maybe my plan was reckless and foolish, but it was a plan.","Reckless and foolhardy my plan may have been, but a plan it was."
2586,"if he stayed here, he would burn in a bouncing, heckling flame of spontaneous fire.","If he stayed here he would go up in a jigging, screaming blaze of spontaneous combustion."
2587,"Jango, cut up with shooting!","stop the shooting, Jango!"
2588,The Tower will kill you half a world away.”,"the tower will kill you, but you'll be halfway across the world. """
2589,your mother was fucking embarrassed.,Embarrassed the hell out of your mother.
2590,"Now, why would you spend so much time trying to teach me how to blow a stupid bubble... when you could have been making up for this?","why did you spend so much time teaching me how to bubble, instead of mentioning this?!"
2591,You'll detonate it all by yourself.,you will destroy it yourself.
2592,"oh, shit!",Oh God!
2593,would you please keep your mouth shut and drive?,"Could you possibly just shut up and drive, please?"
2594,You're a bigger pain in the neck... than I would have ever thought possible.,you're a bigger problem than I thought you could be.
2595,I couldn't be anything but what I was ... a low-class thug from south Boston.,"I couldn't be all possible, but I was... a criminal rogue from southern Boston."
2596,It was a fucking massacre.,it was a massacre.
2597,"yeah, if your mom now saw her Bar Mitzvah joint, she'd be hit by a hooker.","Yeah, if your mom could see her little Bar Mitzvah boy right now, she'd have a heart attack."
2598,You are a very bad dog.,"bad dogs, bad."
2599,"And I will smite thee, and take thine head from thee;","and I'm gonna captivate you, and I'll take your head."
2600,"If left alone, he would probably starve to death.","if he were alone, he would have died of hunger."
2601,let's do this.... 'cause waiting is a stupid idea.,Let's just do this. because waiting is a bad idea.
2602,"The little countries here fought because of the river, because of idiot treaties, because of royal rows, but mostly they fought because they had always fought.","the small earners fought for the river, because of bad peace treaties, because of their differences between nobility, but mainly because they always fought."
2603,"they say I'm beautiful, they say I'm proud...... and you're crazy; you have no control over your heart.","They call me beautiful, they call me the proud one... and you've gone crazy; you have no control over your heart"
2604,so strong I could exterminate all the Wamphyri!,so strong that I could think all of the Wamphyri into extinction!
2605,"And don't be talking shit about your mother, - she wasn't perfect, but she was... - She was a good lay?","and stop saying all that about your mother, she wasn't perfect, but she was... she was good for bed."
2606,or stab the horns.,"Or gored, with the horns."
2607,"and when Bay City crosses the line, your balls belong to me.","And in Bay City, when you cross the line your nuts are mine."
2608,so you're already fucking Jack?,So you screwing Jack yet?
2609,"Too many damn scheduling conflicts, unfortunately.","unfortunately, there was much overlap in the schedule."
2610,"Copa's looking for me, bitch?","Lookin' for me, beast?"
2611,I never thought I'd see the day that you were a bully.,I never thought I'd see a day when you'd be bullied.
2612,Not too fucking deep.,not too deep.
2613,We will bring His message of love back into the world if we have to kill every diseased animal who thinks otherwise!,"we will return His message of love, even if we have to kill every infected animal that thinks differently!"
2614,"Let's get the fuck out of here, man!","let's get out of here, man!"
2615,"but it's not like you get attacked by me or anything, because my stepuncle is a bounty hunter who will hunt you down and kill you.",Okay. But don't try and like kidnap me or anything... 'cause my step-uncle's a bounty hunter and he could have you tracked and killed.
2616,"Mr. Gambini, are you sure you want to shoot me?","Mr Gambini, are you mockin' me with that outfit?"
2617,my balls.,My nuts.
2618,"of course, only if he doesn't call you a maggot and the spill-over public will turn his back on you.","Unless, of course, they declare you a total weirdo and the fickle public turns their back on you."
2619,"I'll be damned if I'm not making that contest, Sheryl.","I'm going to fail if I don't do this, Sheryl."
2620,You take my life.,take my life.
2621,"No, this place always smells horrible!",it's always a bad smell.
2622,she... die.,Uh... she is dying.
2623,I'm not a fag!,I'm not gay!
2624,I am a fool.,I'm crazy.
2625,Blaine Mono was completely insane.,Blaine the Mono had been utterly mad.
2626,"yeah, I've been thinking about getting into a sleeping bag before I go to bed, but it sounds like a loser's straitjacket.","Yeah, I thought about zipping myself up into a sleeping bag before I go to sleep, but it, heh, sounds like a poor man's straightjacket."
2627,They're going to bury me.,they want to bury me.
2628,"the lion of Meirus, First Minister, was useless.","Lev Meirus, First Minister, was no help."
2629,"""that bastard Beasley!"" Said Dale.","""That man Beasley!"" he soliloquized."
2630,Do you want to be slain?,you want to be on a stake?
2631,"I'm not gonna make her a star, fatass.","I'm not gonna make her a star, Fats."
2632,"it's my story, too, and you totally fuck him up if you let him in.","This is my story, too, and you are about to kill it forever by letting him come in here."
2633,"she insults you, I insult you, you have a terrible day.","She's insulting, I'm insulting, it's a terrible day for you."
2634,We can give them that horrible penguin your mother sent.,and you give them the same penguin that your mother sent.
2635,I'll be filming from here. Fuck that.,I'll be filming from here.
2636,What the fuck they're loadin?,what the hell do they put in there?
2637,"Damn coincidence, isn't it? I mean, he turns up and all bloody hell breaks loose.","it's a coincidence, he just shows up, and then hell breaks loose."
2638,"You can still die, and your heart would stop.",you kept dying. Your heart stopped.
2639,"It was Dad, Gottfried, who taught me how I should strangle her.","he was my dad, Gottfried, who showed me how I had to strangle her."
2640,Why? Are you seducible?,yes? And will you be seduced?
2641,We're damned proud of the boy.,we're proud of the boy.
2642,Huh? What am I doing out here freezing my butt off?,what am I doing here when my back is freezing?
2643,I don't want Indians.,I'm not sleeping with the Indians.
2644,We don't give a damn about her.,we don't care about her.
2645,What the hell is it then?,what is it then?
2646,Where's my fucking parade?,where's my parade?
2647,"why didn't your father become a sheriff's deputy, why he was on the fence with those fools from the courthouse?","Why was your father not a deputy sheriff, in tight with the courthouse crowd?"
2648,"long hair, nice little mouth, perfect butt?","Long hair, pretty little mouth, perfectass?"
2649,"No sign even of a struggle, except that her throat was a dark, mottled, blackish red.","no sign of a fight, only a deep red stain on her neck."
2650,"don't be ridiculous, Evan.","Don't be petulant, Evan."
2651,"If this were a movie, my dick would be the villain.","if he were playing in the movie, he would be a bad guy."
2652,"we don't have knees, you prick!","We don't have knees, you mother ."
2653,I vowed to wipe out Wan Guld with my family as he exterminated my family.,"The night we buried my brothers at sea, I vowed to wipe out Wan Ghould's family as he wiped out mine."
2654,"Fuck you, man.","kiss me, man."
2655,"if you want to act like that, I won't shoot anyone.","If you're gonna be like that, I'm not shooting anyone."
2656,"What? Man, fucking security's shutting down the elevators in your building.",they shut down the elevators in your building.
2657,"strictly black, it depends on what he brings to the table.","Strictly off the books, depending on what he brings to the table."
2658,"I need that exact same shit by next week, but a lot more.","I need the same for next week, but a lot more."
2659,Off that head.,and the head is gone.
2660,the arrogance of the young man came out like water from an overturned bucket.,The arrogance went out of the young man like water poured from a bucket.
2661,"Noah, it's me. It's sandra. Shut up.","Noah, it's me, Sandra."
2662,what a pathetic little lie.,What a touching little lie.
2663,"Take weapon, stand in front of one of the our shoot him and not even blink.","take the gun, stop in front of one of our men."
2664,"So you called my thesis a fat sack of barf, and then you stole it?",so you called my thesis a thick bag of puke and then you stole it from me?
2665,"It's for poor children, or stupid children, or something - but it'll be fun.","it's for poor kids, disabled kids, so it's gonna be fun."
2666,you should be the one they fried.,Should've been you who got fried.
2667,"She's a demon, Sam, period.","she's a demon, Sam."
2668,"I only have bills from lawyers, debt and threats to kill.","I got liens, back taxes, lawyers' bills, threats against my life."
2669,Give me your damn cell phone.,give me your phone.
2670,"if I don't solve it by morning, I'll go to the station and say I killed those cops.","If I can't figure this out by the morning, I'll walk myself into the precinct and tell 'em I blew those two officers away."
2671,he's either the best wife... or the worst of all.,"That is either the best of wives... or the very, very worst."
2672,"If this takes some kind of secret code, I'm screwed.","if it works on the principle of a secret code, I'm lost."
2673,He looked like a man who had diven his electric cart out of the dark and burning subterranean mouth of hell itself.,he looked like a man who rode his electric chariot straight out of the dark and blazing underground mouth of Hell.
2674,"you've been an incompetent for over a year, they've canceled most of your credit card, poor Julz.","You've been on disability for over a year, they've cut up most of your credit cards, and poor Julz."
2675,And so I feel like he thinks he's coming home to this witch.,so I think he thinks there's a witch in the house waiting for him.
2676,Wine for dinner sounds so gay!,the wine for dinner sounds so profligate.
2677,To hell with Pacific Aerodyne!,never mind Pacific Aerodyne.
2678,Smash me to bits and the Hero's Qi will just dissipate and fly away.,"smash me into pieces, and Hero's chi will dissipate and fly away."
2679,Nasty Elves twisted it. - Take it off us!,"the Elves twisted it, the bad ones."
2680,And we can do that Master Cleanse thing... ...with the cayenne pepper and all that shit.,and we can try that lemonade diet with cayenne pepper and stuff.
2681,Obal Ferras just tried to have me killed.,the Ferras cover just tried to get me killed.
2682,what if I went to the courthouse and I said it and they're gonna murder me and you're going to jail for me.,What if I went to court... ...confessed it all and you did my time for me?
2683,"I have eight, so I'm careful before I make a dick.","And I got eight, which is why I think before I go off half-cocked."
2684,"if this small group of former enemies goes a good example, it won't last long, and everyone, including him and Mary, will live on the surface as sensible human beings, stop behaving like rats in blind hatred.","If this tiny amalgam of former enemies was a good example, it wouldn't be too long before he and Mary and the rest of humanity would be living on the surface like rational human beings instead of blindly hating moles."
2685,"oh, shit!",Jeez!
2686,what the hell do you need a yacht for?,"Yeah, let's do it. What the hell do you need a boat for?"
2687,"garbage was rolling between the trenches, cheering and the tents.","Litter cluttered the trodden paths between trenches, pits, and the ragged sprawl of makeshift tents."
2688,"You know, you're really drunk on this Mescal shit... when you swallow the worm and don't even know you did it.","this Mescal is very reluctant... If you swallow a worm, you don't even know about it."
2689,"I told him all the shit about me, and he keeps coming back.",I told him everything about myself and he's coming back.
2690,You're going to kill again.,you said it before you didn't kill again.
2691,you should have jumped at me.,You should have grabbed me.
2692,"Let me through, this is going to kill them. They'll catch pneumonia!","let me go, those kids will get pneumonia."
2693,"One way or another, passion makes fools of us all.","either way, passion makes blazzards out of all of us."
2694,I don't give a shit about your exotic milk.,I don't care about your exotic milk.
2695,"Hey, what about the free records and all the rest of the shit?",what about free records and other items?
2696,"If we don't help each other, we'il die here!",if we don't help each other out here.
2697,Get some fuckin' sleep and thank God for all you got.,you better sleep it off and thank God for everything you've got.
2698,That's gonna make you a fuckin' man.,that will make you a man.
2699,"Shit, they're gonna love me.",they will love me!
2700,They'll do what they damned well please.,they'll do what they want.
2701,I'd do 30 years in jail for the redhead.,I'd go to jail for 30 years.
2702,"just turn around, troublemaker.","Just turn around, sketchy."
2703,"Otherwise, you're completely useless to me.","otherwise, you're not going to help me."
2704,I think Duncan's crazy.,I think Duncan lost it.
2705,They want the same shit.,they want the same thing.
2706,did you look in the fridge after cutting your heads off?,Did you check the refrigerator for any severed heads?
2707,"today, Spartans die.",Today no Spartan dies.
2708,you married the first man who twisted your head.,You married the first man that turned your head.
2709,How could you let him kill me?,how could he have killed me?
2710,I'm going to need-- - Idiots.,To do this right I'm gonna need-- -
2711,I thought you were already dead.,I thought you'd perished.
2712,We will continue to bomb them out.,we'll continue to try the bombs.
2713,"What did Gruntman call me? ...scumbags like me,it'il protect all of you.","what did Gruntman call me?... a pariah like me, it will protect all of you."
2714,"If they’ve hurt her, I hope she’s dead.","if they tormented her, I hope she does not live now."
2715,are you thinking about killing someone in your sleep?,Are you trying to figure out how to murder someone in their sleep again?
2716,"Emrin slapped him lightly on his buttocks, and the two horses came out on the moonlit yard.",Emrin slapped the beast lightly on the rump and the two mounts walked out into the moonlit yard.
2717,How dare you sing while we are so miserable!,how dare you sing if we're so unhappy!
2718,"No, no, I'll confess I shot him with my fucking phone.",I'll admit I killed him with my phone.
2719,I'm trying to stop the State from killing him.,I just want the state to not kill him.
2720,He's gonna swallow me!,he'll swallow me!
2721,I didn't want to kill him.,I did not want to kill Lennie Taylor.
2722,what the hell did he do?,What the hell did I do?
2723,I dug you up... and now I'm gonna bury you.,I dug you up... and I'm gonna put you down.
2724,I did not knowthat boy was corrupt.,I didn't know the boy was underpaid.
2725,what the hell is going on?,what the hell's going on here? - No time.
2726,"Oh, fuck.",Jesus Christ!
2727,he had a fucked-up childhood.,He probably had a bad childhood.
2728,"It's likea big, stupid coffee conspiracy.","it's like a huge, stupendous coffee conspiracy."
2729,These sickos are good.,these guys are good.
2730,you don't have to kill anyone.,No killing needed.
2731,"""fuck him!""","""Whee-oh!"""
2732,"What, are you crazy?",what are you doing?
2733,Can't you just be my Dad for five fucking seconds?,can you be my father for five seconds?
